12:02,318,30828.39,1.76,2686.74,52180449
12:02,339,21901.8,1.31,255.6,52180470
12:03,348,28634.46,1.08,0,52180497
12:03,267,17079.45,8.04,36950.04,52180530
12:03,405,25676.61,1.06,0,52180556
12:04,372,31778.31,2.04,26263.77,52180578
12:04,420,22826.46,1.29,518.07,52180635
12:04,312,24543.18,20.33,104993.61,52180654
12:05,387,25022.28,1.5,1697.37,52180688
12:05,375,19908.6,1.72,2774.01,52180720
12:05,411,30886.68,1.95,4458.06,52180787
12:05,390,25247.67,1.53,1539.54,52180813
12:06,417,38712.78,2.31,9030.63,52180846
12:06,414,55092.12,2.11,58673.61,52180882
12:06,447,48429.36,1.55,2342.52,52180913
12:07,399,54116.31,1.14,0,52180949
12:07,327,24582.51,16.23,105075.3,52180986
12:07,408,23658.93,2.11,1807.23,52181020
12:08,345,29031.45,3.14,46199.13,52181042
12:08,444,36438.06,1.35,0,52181106
12:08,429,36449.67,1.73,3180,52181146
12:09,444,18988.89,5.71,44642.55,52181180
12:09,942,80530.56,1.93,5964.72,52181209
12:09,438,41461.2,9.23,105525.42,52181240
12:10,918,85737.42,8.08,254846.52,52181286
12:10,1008,82748.22,2.46,97268.4,52181321
12:10,1008,46810.62,2.05,6671.58,52181374
12:11,1098,99078.06,1.76,4999.5,52181431
12:11,990,92505.66,4.69,186479.46,52181466
12:12,1194,98804.1,7.64,231969.96,52181496
12:12,2424,118963.44,3.36,103597.2,52181534
12:12,1152,100035.6,5.23,178526.16,52181573
12:13,2460,194950.08,1.46,0,52181627
12:13,1092,52080.66,1.33,560.88,52181666
12:13,1116,55673.46,10.97,171269.34,52181715
12:14,2736,190399.68,1.63,92351.76,52181748
12:14,2604,185182.08,2.62,204146.76,52181777
12:14,2808,202654.32,1.92,173980.8,52181844
20:08,8088,550251.12,1.95,267758.16,52237294
20:08,8160,552759.6,1.45,30544.08,52237315
20:08,7224,332514,2.2,90534.48,52237348
20:08,10560,526133.7,1.86,99752.4,52237381
20:09,8280,433773.84,7.98,1083168.48,52237412
20:09,11460,601439.1,1.94,194340,52237439
